,test_loss_dino,test_loss_yolo,train_loss_dino,train_loss_yolo,test_loss_dino_box,train_loss_dino_box
0,6.537883509529961,12.293721283806695,21.186427239576975,17.11984994676378,12.962747149997288,19.685174096955194
1,3.3225046820110746,10.966293059455024,4.093086043993632,11.808297793070475,12.200719261169434,12.692946354548136
2,2.963935687806871,8.319150341881645,3.1974876052803465,9.78198706176546,10.795335080888536,11.694458829032051
3,2.8224148246977063,7.553705422083537,2.9472662369410196,7.900447713004218,8.424629894892375,9.524932834837172
4,2.722653137312995,7.23329332669576,2.8198048227363164,7.505143184132046,7.8405041164822045,8.041345748636457
5,2.674101898405287,6.983194017410279,2.7403720332516563,7.199421234925588,7.66818020078871,7.679552439848582
6,2.6465326216485767,6.683063634236654,2.68668162326018,6.923722745312585,7.439830011791653,7.4798971056938175
7,2.6269360264142354,6.406664509243435,2.6530649032857685,6.655396224392785,7.506544865502251,7.370606213145786
8,2.6300334970156354,6.259438859091865,2.6211685472064548,6.412488028738234,7.213204124238756,7.250337953037686
9,2.5939739995532567,6.060862806108263,2.5965861214531794,6.184830261601342,7.254578897688124,7.175474895371331
10,2.573029418786367,5.8029409461551245,2.578842369384236,5.970784942971336,7.151318200429281,7.113956864674886
11,2.5550000217225817,5.642713006337484,2.5642474366558923,5.821898600790235,7.035306670930651,7.0739278488689
12,2.5407548321617974,5.5391426351335316,2.5548645188411077,5.696508706940545,7.003615427017212,7.0056559046109514
13,2.5258390016025967,5.443949365615845,2.5434287865956624,5.595167242156135,6.982707760069105,6.967032350434197
14,2.536446111732059,5.415391821331448,2.526954737967915,5.507910077439414,6.939506186379327,6.92181928952535
15,2.515554149945577,5.7265340487162275,2.5172959920432834,5.418056182728874,6.904009840223524,6.934240139855278
16,2.5120705750253465,5.381643671459622,2.5086985405948425,5.343659055895276,6.872414122687446,6.873733172151778
17,2.5217501163482665,5.188653622733222,2.505086282889048,5.283321464724011,6.911718649334378,6.844552813635932
18,2.494452777173784,5.169849846098158,2.496854031085968,5.223570687903298,6.827869526545206,6.812624123361376
19,2.5052411397298178,5.042019316885207,2.489645293686125,5.176279480589761,6.823877101474338,6.776274645328522
20,2.497329615222083,4.976726942592197,2.487960411442651,5.090669434600406,6.915396520826552,6.751444310612149
21,2.4921053330103557,5.2952695157792835,2.479109763767984,5.040499369303386,6.8253397941589355,6.730565124087864
22,2.477590541044871,4.987543927298652,2.478990439905061,5.059621883763207,6.761793941921658,6.707481596204969
23,2.483329923947652,5.008872095743815,2.473767783906725,4.951518068048689,6.73944591416253,6.69993968407313
24,2.4756492402818466,4.88006018002828,2.466590063108338,4.9815320981873406,6.713085264629788,6.6889719671673245
25,2.536172538333469,4.757743101649814,2.465499910712242,4.856851484378179,6.680042711893718,6.674269470903608
26,2.4833731108241612,4.852388456132677,2.469032206469112,4.8070824258857305,6.656122244728936,6.668298599455092
27,2.478511423534817,4.765814797083537,2.468079791797532,4.791960518227683,6.647782707214356,6.628890554110209
28,2.4852798766560023,4.663735707600911,2.4611682577265634,4.737003532383177,6.623082600699531,6.635601139068603
29,2.4755480726559957,4.822436059845819,2.4521445939938227,4.716278845734067,6.643131102455987,6.581192227204641
30,2.4729142758581375,4.5476032813390095,2.4543084108167226,4.7105870531664955,6.585848628150092,6.596927007039388
31,2.462113935417599,4.536518081029256,2.454999523030387,4.69812904993693,6.596450773874919,6.563112807273865
32,2.480676511923472,5.416039162211948,2.4508561064799625,4.605274850792355,6.558138248655531,6.555126592848036
33,2.478962626722124,4.911270552211338,2.453180953198009,4.663240320152706,6.544425063663059,6.563866413964165
34,2.456227265463935,4.964522939258152,2.4552132811811234,4.702736884355545,6.52636653052436,6.527705454826355
35,2.475217812591129,5.094918015268114,2.448468404346042,4.612981100214852,6.565941460927328,6.536911516719394
36,2.467026878727807,4.439913847711352,2.4457639876339172,4.562353622913361,6.545305124918619,6.549833269913991
37,2.4577428619066874,5.5746159977383085,2.4525384542014863,4.54092754986551,6.51768438021342,6.498747449451023
38,2.468712278207143,5.1724177916844685,2.449217559562789,4.550705498456955,6.532205581665039,6.503606063789792
39,2.4621882928742305,4.333029720518324,2.4454375843207043,4.528791511058808,6.499304580688476,6.492027844323053
40,2.4758788612153797,4.333307631810507,2.4456049369441137,4.573906947506798,6.507459984885322,6.509309086534712
41,2.479748074213664,4.378267733256022,2.4483500639597575,4.456520836883121,6.936558643976848,6.469347400135464
42,2.46824195517434,4.345253435770671,2.4423301729891036,4.500047147936291,6.5613430711958145,6.477850296762255
43,2.4617658032311334,4.366634119881524,2.4384552902645535,4.480601547161738,6.498190964592828,6.459100234508514
44,2.456522544225057,4.687852835655212,2.4405968185928133,4.482905511723624,6.4602845933702255,6.420754130681356
45,2.4614460587501528,4.281355677710639,2.4464413361416923,4.447892243994607,6.448901308907403,6.423094118965997
46,2.451017263200548,4.269254083103604,2.4395465370681553,4.430491815010707,6.515200307634141,6.43120106458664
47,2.464977232615153,4.413328009181552,2.43482433921761,4.38953277402454,6.441775724622938,6.480196975337135
48,2.4514082736439176,4.239832848972744,2.437217594186465,4.339264598819945,6.447494226031833,6.437901751200358
49,2.4955873833762277,4.27572988404168,2.4428962025377485,4.413761415746477,6.43149610625373,6.427180859777662
50,2.4542515436808268,4.210738688045078,2.4329294714662764,4.345202338695526,6.711833816104465,6.4177781648106045
51,2.446130828062693,4.206957835621304,2.42805685169167,4.3656054086155365,6.4399611049228245,6.385634197129144
52,2.4395339727401733,4.1961564461390175,2.4276465528541142,4.347086548142963,6.428201966815525,6.381045357386271
53,2.4395132091310288,4.346776768896315,2.4277330444918737,4.313069053490957,6.414714998669094,6.365394161807166
54,2.445278447204166,4.509893043835958,2.431322452425957,4.3189972877502445,6.694896708594428,6.402093742291132
55,2.4584943532943724,4.642910642094082,2.4289670642879275,4.419715876049466,6.429562049441867,6.358607153097789
56,2.4519959635204738,4.546813339657254,2.4291416462924746,4.292950392431683,6.553820371627808,6.399640537632836
57,2.4464583661821155,4.188391174210443,2.429309277733167,4.300198052989112,6.418229018317328,6.37187449336052
58,2.478864159848955,4.431297776434157,2.4329124907652537,4.273515898651547,6.40383947690328,6.36836292081409
59,2.4548963891135323,4.751000894440545,2.4311310668786366,4.36615848938624,6.508345121807523,6.372997197839949
60,2.4463630159695944,4.20676101313697,2.4281452072991265,4.288585460186004,6.417304256227282,6.35581759346856
61,2.442441968123118,4.156515142652723,2.425612297323015,4.303201885355843,6.452837382422553,6.379584028985765
62,2.451103468736013,4.342608960469564,2.425588299168481,4.259078066878849,6.463410356309679,6.36243254409896
63,2.451961146460639,4.196199748251173,2.4248772468831805,4.370572536521488,6.524878051545885,6.372581075297462
64,2.4506946749157374,4.370480434099833,2.426292064785957,4.262766454617182,6.592800039715237,6.353900110721588
65,2.4400889145003424,4.1763520664638945,2.4242147309912574,4.324245166778565,6.426440032323201,6.376305357615153
66,2.4523506389723884,4.30176690949334,2.427499372760455,4.251435599724451,6.427322191662259,6.367045394579569
67,2.4482122461001077,4.139873512585958,2.4276350448528925,4.298430938190884,6.379893244637383,6.380959134631687
68,2.435997762944963,4.2220880534913805,2.429268607828352,4.293059313959546,6.414427513546414,6.347176351812151
69,2.4518293884065416,4.264750676684909,2.427121487259865,4.243760204977459,6.4324958536359995,6.344197470611996
70,2.451122506459554,4.289765042728848,2.427698149946001,4.3104248371389176,6.39155019124349,6.34393594927258
71,2.4355558435122173,4.151623659663731,2.4224441041549047,4.237249168422487,6.528546036614312,6.349369923273723
72,2.4374193218019276,4.1259515868292915,2.424820830424627,4.245801003111733,6.373401774300469,6.395419218805102
73,2.4458402209811743,4.12560793293847,2.4247489402691524,4.239880214134852,6.386264949374729,6.3238563232951694
74,2.435416735543145,4.158160236146715,2.422696910632981,4.272433199485143,6.379995881186591,6.378299991289775
75,2.4547251303990683,4.116523008876377,2.426779110895263,4.268599165810479,6.404717673195733,6.344672274589539
