,test_loss_dino,test_loss_yolo,train_loss_dino,train_loss_yolo
0,16.781075716018677,17.914574146270752,17.31259077245539,17.254588358330004
1,15.457139372825623,17.007245779037476,15.716786846970066,16.396545496853914
2,14.142176747322083,15.809401273727417,14.062616377165824,14.370213342435433
3,12.933372259140015,14.589717984199524,12.272135040976785,13.473945444280451
4,11.602001070976257,13.535141110420227,10.869913187893955,11.51032304763794
5,10.618477582931519,12.149738430976868,9.75617755543102,10.420938116131406
6,9.843515276908875,10.837182521820068,8.501114830826268,9.094088019746723
7,8.827150464057922,8.321825087070465,7.237143198649089,7.70369578852798
8,7.279142916202545,7.955115556716919,5.843996524810791,6.730373404242775
9,6.736397743225098,6.3682350516319275,4.9015164808793505,5.901873429616292
10,4.953148543834686,6.433219909667969,4.113400105274085,5.5095039714466445
11,4.562118768692017,5.777465045452118,3.516893502437707,4.810845909696637
12,3.9326715767383575,5.601452350616455,3.158469655297019,4.481390779668635
13,3.5180293023586273,5.400122165679932,2.9756590922673545,4.1064999248042255
14,3.3796305060386658,5.211841702461243,3.0996819590077256,4.165344122684363
15,4.04906553030014,4.3936654925346375,2.7107406890753545,4.116971890131633
16,4.913575112819672,4.619244158267975,2.6581134290406196,3.864470604694251
17,4.207106739282608,4.918812334537506,2.4699042818763037,3.9569577809536094
18,3.593810796737671,4.410166382789612,2.6898027044354063,3.6270106561256177
19,3.7980620861053467,4.038843214511871,2.4060262658379297,3.985136855732311
20,3.3447172939777374,4.5301119685173035,2.60698182293863,3.8001136924281265
21,4.3124359250068665,3.8291672468185425,2.2999723607843574,3.9391092531608813
22,3.8396582901477814,4.386204957962036,2.270920666781339,3.6998812140840474
23,3.0735641717910767,4.022222936153412,2.517988670956005,3.7430265455534966
24,3.5395588874816895,3.886327177286148,2.4587367339567705,3.689149350831003
25,3.118118941783905,4.622775912284851,2.439087495659337,3.50958632700371
26,3.0200800597667694,4.577594459056854,2.705987623243621,3.6917233250357886
27,3.0989484190940857,4.08030691742897,2.4947224566430757,3.591645847667347
28,2.890702247619629,3.7279815077781677,2.798900828217015,3.7339261661876333
29,2.6172453463077545,4.119304567575455,2.6126572905164775,3.446688847108321
30,3.634043127298355,4.885788142681122,2.235701420090415,3.590677868236195
31,3.417064070701599,4.4319053292274475,2.3258439591436675,3.5387135274482495
32,3.3932555615901947,4.034166485071182,2.1577200492223105,3.3714175441048364
33,3.7149977684020996,3.8593008518218994,2.1526571837338535,3.5125907984646885
34,2.8495313823223114,3.935887932777405,2.4518957029689443,3.6320318525487725
35,3.4298752546310425,4.558391332626343,2.0932166251269253,3.568954850688125
36,3.5092220306396484,3.9202900826931,2.259200338161353,3.5318465955329663
37,4.707720041275024,4.11406272649765,2.30579124436234,3.3834308638717188
38,3.1768515706062317,4.451126605272293,2.1908063021573154,3.462513461257472
39,3.294739454984665,3.9145760238170624,2.1424537897109985,3.5935858885447183
40,2.798001527786255,3.666472017765045,2.393992792476307,3.6337708993391558
41,3.0498139560222626,4.626020073890686,2.154605934114167,3.3955556190375127
42,3.94588702917099,3.8277168571949005,2.2758172353108725,3.606604395490704
43,3.179270714521408,3.8107632398605347,2.321008476344022,3.2612634933356084
44,4.025001347064972,4.627452373504639,1.9506296425154714,3.7745478442220977
45,4.439532816410065,4.345614314079285,2.3134809082204644,3.325879566597216
46,3.4712573289871216,3.880674570798874,1.994366472417658,3.636252887321241
47,2.784449487924576,3.883070707321167,2.27331614855564,3.4484815019549746
48,2.5106418132781982,4.250114262104034,2.41034197807312,3.3942952661803276
49,3.3497299253940582,3.8163716197013855,2.130083174416513,3.3995390660835034
50,2.8319819271564484,3.4541549682617188,2.2910092743960293,3.619313297849713
51,2.361916735768318,4.115795522928238,2.5383231098001655,3.2145243485768638
52,3.80360546708107,4.363203763961792,2.3056830276142466,3.3229232267899946
53,2.7286075949668884,3.9313220381736755,2.2835076613859697,3.4187274340427285
54,2.5615779161453247,4.055770307779312,2.330966010238185,3.213426207051133
55,4.052248865365982,4.457883358001709,2.289072954293453,3.4049311912421025
56,2.947301834821701,4.00898814201355,2.2392607927322388,3.479296164079146
57,3.1576007604599,3.603426545858383,1.9745499076265278,3.2821784019470215
58,3.953442245721817,4.422540664672852,2.2775837724859063,3.333502675547744
59,3.9191469848155975,3.8704349994659424,2.1328866879145303,3.3785994775367505
60,3.0451120734214783,4.29523092508316,2.085349718729655,3.5442979263536856
61,2.838356673717499,3.6917640566825867,2.3235092704946343,3.5430944977384624
62,3.306703418493271,3.4938554763793945,2.2266879117850102,3.438754919803504
63,3.3368203043937683,4.13495334982872,2.141090822942329,3.146825884327744
64,2.824084132909775,3.3947651982307434,2.2885141517176772,3.6906466195077607
65,3.765592783689499,3.8140983283519745,2.298384110132853,3.5362869248245703
66,2.7041880190372467,3.783143401145935,2.321113680348252,3.424383105653705
67,3.1439132392406464,3.550083637237549,2.3221549482056587,3.447062961982958
68,2.428462505340576,3.3916580080986023,2.4072941144307456,3.461637034560695
69,3.661361038684845,4.582107484340668,2.1789210095550073,3.4405089436155376
70,3.4910129010677338,3.8955880105495453,2.142078327410149,3.2700388431549072
71,2.2824410051107407,3.606397658586502,2.4148904518647627,3.3972959951920942
72,2.580969661474228,3.8115600645542145,2.1979718280561045,3.3614792751543447
73,2.8201207518577576,3.6481854617595673,2.0891889839461357,3.5259828278512666
74,3.8261356949806213,3.429729253053665,2.315175345449737,3.3953646168564307
75,2.3709232211112976,3.7441781163215637,2.3484733718814272,3.3334422833991773
76,3.1572867333889008,3.8553032875061035,2.14920668890982,3.1669587655500933
77,2.410740450024605,4.090601235628128,2.3323501348495483,3.2031192129308526
78,2.6298169791698456,3.8895048201084137,2.3548226645498564,3.225316726800167
79,2.69119930267334,3.4612367153167725,2.2433632503856313,3.5046975395896216
80,2.4997928738594055,3.9699020087718964,2.330710519443859,3.1310985232844497
81,3.6159720718860626,3.801904559135437,2.3530082847132827,3.3755254528739234
82,2.393756002187729,4.052347481250763,2.471027414004008,3.4147038243033667
83,2.305470734834671,3.6136242747306824,2.5235241001302544,3.4491723306251294
84,3.3625560998916626,3.5314187705516815,2.170924855001045,3.4784754117329917
85,2.625663638114929,3.8188555538654327,2.3322927084836094,3.396773504488396
86,2.420318439602852,3.56837460398674,2.282702594092398,3.337887019822092
87,2.5873770713806152,3.4964112639427185,2.142986944227508,3.2148467844182793
88,3.313287168741226,3.807189643383026,1.9344941269267688,3.2282291036663633
