,test_loss_dino,test_loss_yolo,train_loss_dino,train_loss_yolo,test_loss_dino_box,train_loss_dino_box
0,13.080064678192139,13.0105773501926,19.243833475642734,19.342029717233444,14.29060509999593,19.75697070227729
1,4.60054038895501,5.967071045769585,4.754835096995036,6.382948840989007,8.230035750071208,7.487953964869181
2,5.154389972156949,4.753674218389723,3.1886104040675693,4.5472404744890005,7.95564833217197,5.900226898325814
3,4.158802869584825,5.419558167457581,3.0392042229572933,4.262831604480743,7.232776080237494,5.536108556058672
4,3.896989091237386,4.587019846174452,2.948968650897344,4.070865551630656,6.530262125862969,5.287583425309923
5,4.168045557869805,3.991259460979038,2.8957277579440013,3.9528651151392196,6.502277533213298,5.190045246150759
6,3.7874136130015055,4.408153096834819,2.8261647903256946,3.8844094819492763,6.098893637127347,5.065443491273456
7,4.384794669681125,4.1877395815319485,2.7446803599596024,3.81937208837933,6.58106345600552,4.977971165047752
8,2.956433335940043,4.187437497244941,2.8239163885513943,3.6812928828928206,6.754635847939385,4.871693852212694
9,3.0735775576697457,4.025292629665799,2.659870605336295,3.652396153741413,6.560333559248183,4.768440084987216
10,3.3171250449286567,3.823216896586948,2.612353819608688,3.600030345386929,6.564253351423475,4.775360238552094
11,3.5672920995288426,3.464296547571818,2.6212430546681085,3.5742135061158073,6.92290620274014,4.713199488984214
12,3.0506393803490535,3.4112081739637587,2.54458153810766,3.5034645007716283,5.730956019295586,4.647657661305534
13,3.14483855565389,3.2219071997536552,2.566241035196516,3.5018521136707728,5.815668368339539,4.575364868508445
14,3.109777715471056,3.2457024070951674,2.5280053363906014,3.4424554844697317,5.671543052461412,4.518609656890233
15,3.4580424732632107,3.1369114690356783,2.4949153224627176,3.4524241036838954,6.076517788569133,4.521989615095986
16,3.307710443602668,3.1443488544887965,2.5197641634278827,3.354819005727768,5.788721924357944,4.455922483735614
17,3.1422283305062186,2.890364066759745,2.4605587475829656,3.374337167210049,5.531507592731052,4.403893637657165
18,2.7257541285620794,3.0437634070714314,2.522287666797638,3.324207015832265,5.38461676703559,4.384203977055019
19,2.7585322194629245,3.538963953653971,2.4727390352222653,3.3460961202780406,5.91165091196696,4.393220745192634
20,2.7653101020389133,3.26498527791765,2.416430382596122,3.2628088222609626,6.0387122207217745,4.310396185848448
21,3.591037776735094,3.8682874388164943,2.4787197762065465,3.2991610129674274,5.2857832060919865,4.270014409886466
22,2.9941652324464587,2.8234015809165105,2.35862199332979,3.228231022093031,5.383300601111518,4.248439823256598
23,2.6841173039542303,3.461487086613973,2.389319776164161,3.2406171792083316,5.003469268480937,4.228347201479806
24,3.2541603962580363,2.939776219262017,2.373309822546111,3.2136137071583004,4.938441326883104,4.198073303699493
25,2.8174934016333686,3.0018988635804917,2.2912636680735483,3.1903311063845954,5.584651843706767,4.196788668632507
26,2.8348441123962402,2.9456576135423447,2.3761929432551065,3.1358283261458078,5.771166279580858,4.116784742143419
27,2.5279280450608996,2.811693579620785,2.331622956196467,3.189801436662674,5.102627110481262,4.156766806708442
28,2.768957233428955,3.3803178946177166,2.291117892662684,3.0990505503283607,5.800170742140876,4.083535604344474
29,2.418058756987254,3.056567655669318,2.3439144551754,3.113823791013824,5.2761383957333035,4.053278994560242
30,2.3663088228967455,2.8715639564726088,2.307400879595015,3.0982289142078825,5.188876313633389,4.030106797483232
31,2.7472499953375924,2.9465152581532794,2.2274810433387757,3.0729618546035553,5.0923365725411305,3.983117753267288
